[Source-3/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-4] t=39s target=15k/s gen=161,325 (3750/s) emit=161,325 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=49s target=15k/s gen=198,825 (4067/s) emit=198,825 (4067/s) drop=0 (0.0%) q=0
[Source-4] t=49s target=15k/s gen=198,825 (4067/s) emit=198,825 (4067/s) drop=0 (0.0%) q=0
[Source-1] t=59s target=15k/s gen=236,325 (3750/s) emit=236,325 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=59s target=15k/s gen=236,325 (3750/s) emit=236,325 (3750/s) drop=0 (0.0%) q=0
[Source-4/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-1/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-1] t=69s target=15k/s gen=269,250 (3292/s) emit=269,250 (3292/s) drop=0 (0.0%) q=0
[Source-4] t=69s target=15k/s gen=269,175 (3285/s) emit=269,175 (3285/s) drop=0 (0.0%) q=0
[Source-1] t=9s target=15k/s gen=48,750 (5274/s) emit=48,750 (5274/s) drop=0 (0.0%) q=0
[Source-4] t=9s target=15k/s gen=48,825 (5283/s) emit=48,825 (5283/s) drop=0 (0.0%) q=0
[Source-1] t=19s target=15k/s gen=86,325 (3758/s) emit=86,325 (3758/s) drop=0 (0.0%) q=0
